id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
351914,RI,INDIVIDUAL,2 years,Rite Aid,C,MORTGAGE,08-07-2021,11-07-2021,11-07-2021,Fully Paid,11-08-2021,354785,other,C2, 36 months,Not Verified,32000.0,0.1391,247.65,0.1159,7500,20,8915
563259,TX,INDIVIDUAL,7 years,Gallagher Benefit Services,B,RENT,10-08-2021,16-05-2021,12-03-2021,Fully Paid,12-04-2021,724773,Debt consolidation,B4, 36 months,Verified,130000.0,0.2054,791.32,0.1149,24000,21,27395
640983,CO,INDIVIDUAL,< 1 year,GroupSystems Corporation,A,MORTGAGE,11-01-2021,16-01-2021,14-01-2021,Fully Paid,14-02-2021,820526,Debt consolidation,A4, 36 months,Not Verified,60000.0,0.1436,490.68,0.0654,16000,25,17665
1037004,PA,INDIVIDUAL,8 years,Easy does it drywall,C,MORTGAGE,11-11-2021,16-03-2021,13-09-2021,Fully Paid,13-10-2021,1266685,Debt consolidation,C1, 36 months,Not Verified,72000.0,0.0868,339.31,0.1349,10000,16,11785
243046,CA,INDIVIDUAL,10+ years,Arch Chemicals,D,RENT,08-02-2021,16-05-2021,09-09-2021,Charged Off,09-10-2021,241583,Debt consolidation,D2, 36 months,Not Verified,70000.0,0.0905,347.5,0.1292,10325,17,6596
442381,TX,INDIVIDUAL,1 year,GBH CPAs,C,MORTGAGE,09-09-2021,10-07-2021,10-07-2021,Fully Paid,10-08-2021,537306,credit card,C5, 36 months,Source Verified,70000.0,0.1368,686.12,0.1426,20000,34,21998
875961,CA,INDIVIDUAL,4 years,Los Angeles Dodgers,B,RENT,11-09-2021,16-05-2021,16-02-2021,Fully Paid,16-03-2021,1090548,Debt consolidation,B3, 60 months,Source Verified,72000.0,0.1327,130.43,0.1099,6000,17,7768
486703,NY,INDIVIDUAL,4 years,Locust Hill Country Club,D,RENT,10-03-2021,13-03-2021,13-03-2021,Fully Paid,13-04-2021,620304,Debt consolidation,D1, 36 months,Not Verified,38000.0,0.1598,689.3,0.1459,20000,21,24850
889624,CA,INDIVIDUAL,9 years,UCSD,C,RENT,11-09-2021,16-05-2021,14-10-2021,Fully Paid,14-11-2021,1106158,vacation,C3, 36 months,Source Verified,46800.0,0.2244,68.99,0.1465,2000,14,2484
462805,NY,INDIVIDUAL,7 years,Department of Veterans Affair,B,RENT,09-12-2021,16-05-2021,12-12-2021,Fully Paid,12-01-2022,579176,Debt consolidation,B2, 36 months,Verified,46256.0,0.0975,329.69,0.1148,10000,10,11869
736876,CA,INDIVIDUAL,10+ years,County of Orange,A,OWN,11-04-2021,14-05-2021,14-05-2021,Fully Paid,14-06-2021,933936,credit card,A1, 36 months,Source Verified,47232.0,0.0447,241.28,0.0542,8000,25,8686
614490,NH,INDIVIDUAL,< 1 year,Saints Medical Center,C,RENT,10-11-2021,13-10-2021,13-10-2021,Fully Paid,13-11-2021,787960,Debt consolidation,C4, 36 months,Not Verified,50000.0,0.115,216.73,0.1335,6400,20,7798
615108,NY,INDIVIDUAL,3 years,Applebees restaurants,C,RENT,10-11-2021,15-07-2021,13-12-2021,Fully Paid,13-01-2022,788761,Debt consolidation,C5, 36 months,Source Verified,50004.0,0.0794,510.63,0.1372,15000,28,18385
720202,KS,INDIVIDUAL,< 1 year,Con-way Freight,B,RENT,11-04-2021,16-05-2021,11-07-2021,Charged Off,11-08-2021,914628,credit card,B5, 36 months,Source Verified,40000.0,0.1848,194.29,0.1111,5925,19,387
1059843,AR,INDIVIDUAL,8 years,Inviting Company,C,RENT,11-12-2021,15-04-2021,12-02-2021,Fully Paid,12-03-2021,1291476,small business,C1, 36 months,Not Verified,35100.0,0.0619,33.94,0.1349,1000,17,1018
571715,MO,INDIVIDUAL,10+ years,,E,MORTGAGE,10-08-2021,15-06-2021,14-03-2021,Fully Paid,14-04-2021,735397,Debt consolidation,E1, 60 months,Not Verified,35000.0,0.0665,137.53,0.1645,5600,36,7956
738749,GA,INDIVIDUAL,5 years,Orkin Pest Control,E,RENT,11-05-2021,11-08-2021,11-08-2021,Fully Paid,11-09-2021,936201,house,E3, 60 months,Verified,130000.0,0.041,302.8,0.1879,15000,37,12270
833775,CA,INDIVIDUAL,4 years,Yahoo,A,RENT,11-08-2021,14-09-2021,14-09-2021,Fully Paid,14-10-2021,1043486,Debt consolidation,A5, 36 months,Verified,85000.0,0.1444,454.51,0.0849,14400,15,16362
650245,MI,INDIVIDUAL,2 years,Reese Vet Clinic,E,RENT,11-01-2021,12-08-2021,12-08-2021,Fully Paid,12-09-2021,831799,major purchase,E2, 36 months,Source Verified,27000.0,0.1231,177.7,0.1677,5000,42,6009
983890,IL,INDIVIDUAL,1 year,Christ hospital,G,MORTGAGE,11-10-2021,13-06-2021,13-04-2021,Charged Off,13-05-2021,1207254,Debt consolidation,G1, 60 months,Verified,61400.0,0.2121,588.87,0.2274,21000,42,9477
862200,NJ,INDIVIDUAL,1 year,Dr.LeFelt,A,OWN,11-08-2021,15-10-2021,14-09-2021,Fully Paid,14-10-2021,1075235,Debt consolidation,A2, 36 months,Not Verified,22800.0,0.1995,273.76,0.0599,9000,23,9855
840647,MN,INDIVIDUAL,< 1 year,National Marrow Donor Program,A,MORTGAGE,11-10-2021,16-03-2021,13-10-2021,Fully Paid,13-11-2021,1051054,credit card,A3, 36 months,Source Verified,79500.0,0.0808,497.78,0.0751,16000,15,17685
967719,NY,INDIVIDUAL,9 years,u.s. security assoiciates inc,B,RENT,11-10-2021,11-11-2021,11-11-2021,Fully Paid,11-12-2021,1188457,car,B1, 36 months,Not Verified,25000.0,0.0614,119.24,0.0991,3700,10,3731
614188,NV,INDIVIDUAL,5 years,Venetian Resort Hotel and Casino,C,RENT,10-11-2021,16-04-2021,15-12-2021,Fully Paid,15-01-2022,787406,Debt consolidation,C2, 60 months,Verified,55000.0,0.1844,359.74,0.1261,20000,24,21599
459263,PA,INDIVIDUAL,5 years,,C,RENT,09-11-2021,12-11-2021,12-11-2021,Fully Paid,12-12-2021,572316,major purchase,C5, 36 months,Not Verified,116000.0,0.1574,343.06,0.1426,10000,34,12351
608817,CA,INDIVIDUAL,3 years,BoBoGo Inc,B,MORTGAGE,10-11-2021,13-11-2021,13-11-2021,Fully Paid,13-12-2021,780959,home improvement,B1, 36 months,Verified,42000.0,0.1131,634.88,0.0888,20000,11,22857
767580,CA,INDIVIDUAL,1 year,Live Nation,D,RENT,11-06-2021,13-09-2021,13-01-2021,Fully Paid,13-02-2021,968723,Debt consolidation,D2, 60 months,Verified,100000.0,0.1966,583.51,0.1599,24000,8,29430
885951,MO,INDIVIDUAL,< 1 year,Heartland Dental,C,MORTGAGE,11-09-2021,12-07-2021,12-08-2021,Fully Paid,12-09-2021,1101221,credit card,C1, 36 months,Not Verified,24000.0,0.02,203.59,0.1349,6000,10,6604
257346,MD,INDIVIDUAL,2 years,Progressive Corp.,D,RENT,08-02-2021,09-06-2021,09-06-2021,Fully Paid,09-07-2021,257327,Debt consolidation,D1, 36 months,Not Verified,52000.0,0.1202,335.07,0.1261,10000,23,11377
872722,TX,INDIVIDUAL,< 1 year,Carlson Wagonlit Travel,D,MORTGAGE,11-09-2021,15-01-2021,14-10-2021,Fully Paid,14-11-2021,1086928,Debt consolidation,D3, 60 months,Verified,114000.0,0.0706,549.96,0.1727,22000,19,30892
514051,PA,INDIVIDUAL,2 years,MAURICE ROTH,C,RENT,10-05-2021,13-09-2021,10-10-2021,Fully Paid,10-11-2021,664370,other,C5, 36 months,Source Verified,30000.0,0.1452,51.43,0.1422,1500,16,1538
738488,CA,INDIVIDUAL,4 years,High Desert State Prison,B,MORTGAGE,11-05-2021,16-05-2021,16-02-2021,Fully Paid,16-03-2021,935873,Debt consolidation,B4, 60 months,Verified,82000.0,0.0859,540.33,0.1074,25000,14,32401
645333,CA,INDIVIDUAL,7 years,ManageAmerica,D,RENT,11-01-2021,16-02-2021,16-02-2021,Fully Paid,16-03-2021,825756,major purchase,D5, 60 months,Not Verified,47000.0,0.1072,274.63,0.1557,11400,21,16493
458835,CT,INDIVIDUAL,< 1 year,,E,OWN,09-11-2021,16-04-2021,10-07-2021,Charged Off,10-08-2021,348413,small business,E4, 36 months,Not Verified,77000.0,0.2319,179.24,0.1739,5000,16,1618
430633,TX,INDIVIDUAL,9 years,Retired,A,MORTGAGE,09-08-2021,11-08-2021,11-08-2021,Charged Off,11-09-2021,510782,other,A5, 36 months,Verified,43700.0,0.0135,320.95,0.0963,10000,17,7702
558937,NJ,INDIVIDUAL,5 years,JPMorgan Chase & Co,D,MORTGAGE,10-08-2021,13-02-2021,13-02-2021,Fully Paid,13-03-2021,719503,wedding,D5, 36 months,Source Verified,91000.0,0.0844,353.16,0.1632,10000,24,12616
605644,GA,INDIVIDUAL,1 year,aspen square management,F,RENT,10-11-2021,11-07-2021,11-09-2021,Charged Off,11-10-2021,776957,Debt consolidation,F2, 60 months,Source Verified,50004.0,0.1742,453.02,0.1817,24250,9,4725
813003,MD,INDIVIDUAL,5 years,TEK Systems,B,RENT,11-07-2021,16-05-2021,12-03-2021,Fully Paid,12-04-2021,1020365,Debt consolidation,B5, 36 months,Verified,52000.0,0.0923,332.1,0.1199,10000,8,10651
737812,CA,INDIVIDUAL,3 years,Fairfield Properties,C,RENT,11-04-2021,13-07-2021,12-02-2021,Fully Paid,12-03-2021,935064,credit card,C2, 36 months,Verified,60000.0,0.1296,303.51,0.1306,9000,29,9799
433976,NY,INDIVIDUAL,1 year,PCB Piezotronics,C,RENT,09-08-2021,09-11-2021,09-12-2021,Fully Paid,09-01-2022,517387,small business,C4, 36 months,Not Verified,42500.0,0.2404,211.65,0.1392,6200,6,6411
838882,NJ,INDIVIDUAL,10+ years,stanley contracting,D,RENT,11-08-2021,16-05-2021,14-05-2021,Fully Paid,14-06-2021,1048999,Debt consolidation,D1, 36 months,Not Verified,40000.0,0.2085,463.35,0.1562,13250,13,16645
816274,TX,INDIVIDUAL,7 years,Rock Materials,B,OWN,11-07-2021,14-07-2021,12-03-2021,Fully Paid,12-04-2021,1023994,home improvement,B4, 36 months,Not Verified,110000.0,0.199,263.78,0.1149,8000,27,8498
614950,NV,INDIVIDUAL,4 years,Jacobs Engineering,B,MORTGAGE,10-11-2021,12-08-2021,12-08-2021,Fully Paid,12-09-2021,788553,Debt consolidation,B2, 60 months,Verified,93000.0,0.1074,167.04,0.0925,8000,28,8848
806056,WA,INDIVIDUAL,< 1 year,Microsoft Corporation,C,RENT,11-07-2021,13-12-2021,12-08-2021,Fully Paid,12-09-2021,1012210,Debt consolidation,C2, 36 months,Source Verified,80000.0,0.1104,257.88,0.1349,7600,13,8527
1052195,TX,INDIVIDUAL,3 years,Benchmark Hospitality International,B,RENT,11-12-2021,14-10-2021,13-01-2021,Fully Paid,13-02-2021,1283744,Debt consolidation,B5, 36 months,Not Verified,40000.0,0.1335,474.66,0.1269,14150,17,15817
1033480,WA,INDIVIDUAL,3 years,Walmart,B,MORTGAGE,11-11-2021,13-05-2021,13-05-2021,Fully Paid,13-06-2021,1263055,Debt consolidation,B2, 36 months,Not Verified,22000.0,0.0965,124.6,0.1065,3825,12,4288
580887,CA,INDIVIDUAL,1 year,City Grid Media,A,OWN,10-09-2021,14-06-2021,11-04-2021,Fully Paid,11-05-2021,746677,Debt consolidation,A3, 36 months,Source Verified,120000.0,0.0516,185.65,0.0714,6000,7,6201
571780,OK,INDIVIDUAL,10+ years,U.S. Army Corps of Engineers,B,MORTGAGE,10-08-2021,12-05-2021,12-05-2021,Fully Paid,12-06-2021,735486,Debt consolidation,B3, 36 months,Verified,75689.0,0.1005,819.89,0.1112,25000,23,28426
974819,MN,INDIVIDUAL,5 years,Target Corporation,C,MORTGAGE,11-10-2021,16-05-2021,14-10-2021,Fully Paid,14-11-2021,1197120,home improvement,C2, 36 months,Not Verified,88500.0,0.1132,92.64,0.1427,2700,25,3335
829193,WY,INDIVIDUAL,5 years,Sublette County,D,MORTGAGE,11-07-2021,15-08-2021,14-02-2021,Fully Paid,14-03-2021,1038283,other,D2, 36 months,Not Verified,65592.0,0.1952,126.55,0.1599,3600,15,4522
857163,TX,INDIVIDUAL,3 years,United States Army,F,RENT,11-09-2021,14-04-2021,13-12-2021,Fully Paid,13-01-2022,1069594,other,F4, 60 months,Source Verified,48000.0,0.2145,381.62,0.2206,13800,6,19507
1044119,CA,INDIVIDUAL,10+ years,San Diego County,A,MORTGAGE,11-12-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,1274461,Debt consolidation,A2, 36 months,Source Verified,120000.0,0.0377,706.19,0.0662,23000,21,25423
260324,FL,INDIVIDUAL,5 years,Self Employed,D,RENT,08-02-2021,11-02-2021,10-09-2021,Charged Off,10-10-2021,258924,small business,D4, 36 months,Not Verified,71600.0,0.0335,339.6,0.1355,10000,6,10299
664660,AZ,INDIVIDUAL,3 years,TransPac Aviation Academy,A,MORTGAGE,11-02-2021,11-10-2021,11-10-2021,Fully Paid,11-11-2021,849849,car,A1, 36 months,Not Verified,90000.0,0.1035,90.48,0.0542,3000,30,3099
360283,CO,INDIVIDUAL,8 years,US Army,B,MORTGAGE,08-11-2021,11-02-2021,11-02-2021,Fully Paid,11-03-2021,367975,Debt consolidation,B2, 36 months,Not Verified,51996.0,0.0782,243.81,0.1051,7500,22,8664
645606,OH,INDIVIDUAL,10+ years,u.s.p.s,B,MORTGAGE,11-01-2021,14-01-2021,13-05-2021,Fully Paid,13-06-2021,826085,credit card,B5, 60 months,Verified,70000.0,0.1179,321.37,0.1036,15000,12,17951
573291,WI,INDIVIDUAL,10+ years,Sports Corner,B,RENT,10-09-2021,16-02-2021,13-09-2021,Fully Paid,13-10-2021,737395,Debt consolidation,B2, 36 months,Source Verified,36000.0,0.244,399.61,0.1075,12250,23,14386
595852,CA,INDIVIDUAL,< 1 year,ResMed,A,MORTGAGE,10-10-2021,13-05-2021,13-05-2021,Fully Paid,13-06-2021,764952,small business,A4, 36 months,Not Verified,59000.0,0.0071,311.11,0.0751,10000,15,11161
833424,MA,INDIVIDUAL,10+ years,Town of Rockland,A,MORTGAGE,11-08-2021,14-08-2021,14-08-2021,Fully Paid,14-09-2021,1043017,other,A4, 36 months,Source Verified,65000.0,0.1543,248.82,0.0749,8000,22,8957
422385,LA,INDIVIDUAL,9 years,Natchitoches Parish School Board,A,MORTGAGE,09-07-2021,12-07-2021,12-07-2021,Fully Paid,12-08-2021,496861,Debt consolidation,A3, 36 months,Not Verified,39996.0,0.1458,188.02,0.08,6000,24,6769
967065,VA,INDIVIDUAL,7 years,,B,MORTGAGE,11-10-2021,16-05-2021,16-05-2021,Current,16-06-2021,1187971,other,B2, 60 months,Verified,70000.0,0.1265,434.07,0.1065,20125,17,23851
508289,NM,INDIVIDUAL,6 years,SAIC,A,MORTGAGE,10-04-2021,16-05-2021,12-08-2021,Fully Paid,12-09-2021,655775,Debt consolidation,A4, 36 months,Not Verified,92052.0,0.1657,202.22,0.0751,6500,52,7224
690171,NY,INDIVIDUAL,7 years,NYC Department of Corrections,A,MORTGAGE,11-03-2021,15-02-2021,14-03-2021,Fully Paid,14-04-2021,880571,vacation,A2, 36 months,Source Verified,90000.0,0.0636,212.29,0.0579,7000,15,7642
654859,CA,INDIVIDUAL,7 years,CPC LOGISTICS/TIRE PRODUCTS,F,MORTGAGE,11-01-2021,16-05-2021,12-12-2021,Charged Off,12-01-2022,837447,Debt consolidation,F4, 60 months,Not Verified,65000.0,0.0665,261.4,0.1936,10000,11,5401
1053702,FL,INDIVIDUAL,1 year,florida carriers,B,RENT,11-12-2021,13-06-2021,13-02-2021,Charged Off,13-03-2021,1285300,Debt consolidation,B4, 36 months,Not Verified,90000.0,0.112,501.23,0.1242,15000,13,13199
664737,VT,INDIVIDUAL,10+ years,IBM,A,MORTGAGE,11-02-2021,14-02-2021,14-02-2021,Fully Paid,14-03-2021,849946,major purchase,A5, 36 months,Not Verified,62000.0,0.0116,81.07,0.0766,2600,21,2919
364280,NY,INDIVIDUAL,2 years,Memorial Sloan-Kettering Cancer Center,C,RENT,08-12-2021,11-05-2021,10-12-2021,Charged Off,10-01-2022,374770,Debt consolidation,C2, 36 months,Source Verified,39288.0,0.0553,359.18,0.1209,10800,15,8832
712546,GA,INDIVIDUAL,1 year,Wells Fargo Bank,E,MORTGAGE,11-04-2021,15-07-2021,15-03-2021,Charged Off,15-04-2021,905666,Debt consolidation,E5, 60 months,Verified,108500.0,0.2246,886.49,0.1788,35000,43,43218
725192,NJ,INDIVIDUAL,10+ years,Hair One,A,MORTGAGE,11-04-2021,12-02-2021,12-02-2021,Fully Paid,12-03-2021,920405,home improvement,A2, 36 months,Not Verified,65000.0,0.0216,303.27,0.0579,10000,17,10351
475995,MD,INDIVIDUAL,3 years,United States Pharmacopeia,B,MORTGAGE,10-01-2021,14-03-2021,12-06-2021,Fully Paid,12-07-2021,602807,home improvement,B2, 36 months,Not Verified,60000.0,0.0934,197.82,0.1148,6000,33,7055
1002610,PA,INDIVIDUAL,5 years,MVH,C,MORTGAGE,11-10-2021,14-11-2021,14-11-2021,Fully Paid,14-12-2021,1228659,other,C1, 36 months,Not Verified,43200.0,0.155,142.51,0.1349,4200,11,5130
798147,FL,INDIVIDUAL,4 years,jp morgan chase,D,MORTGAGE,11-07-2021,13-06-2021,12-08-2021,Fully Paid,12-09-2021,1003244,Debt consolidation,D3, 60 months,Verified,65000.0,0.1754,393.27,0.1649,16000,24,17933
708324,CA,INDIVIDUAL,2 years,SSA,B,OWN,11-03-2021,15-09-2021,14-04-2021,Fully Paid,14-05-2021,900804,wedding,B3, 36 months,Source Verified,55600.0,0.1668,136.26,0.1037,4200,29,4905
850530,NY,INDIVIDUAL,5 years,Morgan Stanley,A,RENT,11-08-2021,15-10-2021,14-09-2021,Fully Paid,14-10-2021,1062367,credit card,A5, 36 months,Source Verified,80000.0,0.1267,568.14,0.0849,18000,29,20453
1062418,CA,INDIVIDUAL,3 years,,A,MORTGAGE,11-12-2021,15-10-2021,12-06-2021,Fully Paid,12-07-2021,1294281,credit card,A5, 36 months,Not Verified,120000.0,0.1052,254.03,0.089,8000,15,8301
640564,NJ,INDIVIDUAL,6 years,JERSEY MORTGAGE COMPANY,C,RENT,10-12-2021,16-05-2021,14-01-2021,Fully Paid,14-02-2021,820003,Debt consolidation,C1, 36 months,Verified,160000.0,0.0817,833.11,0.1223,25000,14,29993
534955,KY,INDIVIDUAL,8 years,Givaudan Flavors Corp.,B,RENT,10-06-2021,14-01-2021,13-07-2021,Charged Off,13-08-2021,691321,Debt consolidation,B5, 60 months,Verified,85000.0,0.2105,341.48,0.1186,15400,23,12728
990710,OH,INDIVIDUAL,2 years,"Cetnral Ohio Home Health Systems, Inc",E,MORTGAGE,11-10-2021,16-05-2021,15-02-2021,Fully Paid,15-03-2021,1214705,home improvement,E3, 60 months,Source Verified,144000.0,0.0868,246.02,0.1942,9400,16,13975
893931,CA,INDIVIDUAL,7 years,"University of California, Davis",A,MORTGAGE,11-09-2021,15-12-2021,14-08-2021,Fully Paid,14-09-2021,1111106,Debt consolidation,A1, 36 months,Source Verified,53724.0,0.1389,261.75,0.0603,8600,14,9419
876792,IL,INDIVIDUAL,10+ years,TransCanada,A,MORTGAGE,11-09-2021,16-05-2021,14-03-2021,Fully Paid,14-04-2021,1091475,Debt consolidation,A5, 36 months,Verified,80000.0,0.04,635.07,0.089,20000,20,22765
775135,OR,INDIVIDUAL,2 years,Department of the Interior,B,MORTGAGE,11-06-2021,16-05-2021,16-05-2021,Current,16-06-2021,977371,home improvement,B5, 60 months,Verified,107000.0,0.1367,391.42,0.1199,28000,22,22656
1060527,MN,INDIVIDUAL,2 years,Exsilen USA,A,MORTGAGE,11-12-2021,13-09-2021,13-08-2021,Fully Paid,13-09-2021,1292287,small business,A3, 36 months,Not Verified,65000.0,0.0855,311.11,0.0751,10000,25,10945
1040391,PA,INDIVIDUAL,10+ years,,E,MORTGAGE,11-12-2021,14-10-2021,14-10-2021,Fully Paid,14-11-2021,1253271,home improvement,E2, 60 months,Verified,150000.0,0.2474,908.5,0.1903,35000,32,50123
631361,FL,INDIVIDUAL,10+ years,Broward Sheriffs Office/Fire Rescue,A,MORTGAGE,10-12-2021,13-08-2021,13-08-2021,Fully Paid,13-09-2021,808819,Debt consolidation,A1, 36 months,Verified,95000.0,0.0206,271.44,0.0542,9000,29,9745
671552,OR,INDIVIDUAL,5 years,Compucom,A,RENT,11-02-2021,14-02-2021,14-03-2021,Fully Paid,14-04-2021,858496,Debt consolidation,A1, 36 months,Source Verified,45000.0,0.1592,211.12,0.0542,7000,17,7601
353677,OH,INDIVIDUAL,6 years,Downing Displays,F,MORTGAGE,08-08-2021,16-05-2021,09-06-2021,Charged Off,09-07-2021,357409,credit card,F2, 36 months,Not Verified,50000.0,0.108,264.91,0.1633,7500,9,2664
476529,FL,INDIVIDUAL,10+ years,Bethune-Cookman University,D,MORTGAGE,10-01-2021,16-05-2021,13-01-2021,Fully Paid,13-02-2021,603697,credit card,D2, 36 months,Not Verified,83000.0,0.0594,519.68,0.1496,15000,40,18709
979575,MD,INDIVIDUAL,6 years,Smith & Nephew,B,MORTGAGE,11-10-2021,16-05-2021,14-12-2021,Charged Off,14-01-2022,1202726,Debt consolidation,B2, 36 months,Verified,225000.0,0.0896,1140.07,0.1065,35000,48,35866
379357,CA,INDIVIDUAL,7 years,WebDivisor.com,D,RENT,09-02-2021,09-11-2021,09-06-2021,Charged Off,09-07-2021,405657,credit card,D4, 36 months,Not Verified,54000.0,0.238,312.23,0.1505,9000,10,1314
394284,CA,INDIVIDUAL,10+ years,City of Hayward,C,MORTGAGE,09-05-2021,12-05-2021,12-05-2021,Fully Paid,12-06-2021,432864,home improvement,C5, 36 months,Source Verified,173088.0,0.0244,272.61,0.1379,8000,15,9814
1068158,CA,INDIVIDUAL,10+ years,United States Air Force,A,RENT,11-12-2021,16-05-2021,15-01-2021,Fully Paid,15-02-2021,1302728,Debt consolidation,A4, 36 months,Source Verified,56964.0,0.2755,563.23,0.079,18000,20,20276
431200,PA,INDIVIDUAL,6 years,Venezia,A,MORTGAGE,09-08-2021,13-02-2021,12-05-2021,Fully Paid,12-06-2021,511679,Debt consolidation,A3, 36 months,Not Verified,37000.0,0.1343,231.89,0.08,7400,24,8333
545072,MD,INDIVIDUAL,3 years,E.M.S technologies,A,MORTGAGE,10-07-2021,14-08-2021,13-07-2021,Fully Paid,13-08-2021,703047,major purchase,A5, 36 months,Not Verified,48000.0,0.0633,109.49,0.0788,3500,18,3942
390849,MN,INDIVIDUAL,1 year,Hennepin County Medical Center,A,RENT,09-04-2021,12-04-2021,12-04-2021,Fully Paid,12-05-2021,426294,other,A5, 36 months,Source Verified,75000.0,0.1493,385.14,0.0963,12000,21,13865
892985,MN,INDIVIDUAL,10+ years,US Bank,A,MORTGAGE,11-10-2021,16-05-2021,13-12-2021,Fully Paid,13-01-2022,1110028,Debt consolidation,A2, 36 months,Not Verified,74004.0,0.2194,218.77,0.0662,7125,17,7811
